year,name,score
2019,German Grand Prix,9.44
2014,Canadian Grand Prix,9.19
2014,Hungarian Grand Prix,9.14
2015,Hungarian Grand Prix,9.11
2015,United States Grand Prix,9.1
2014,Bahrain Grand Prix,9.1
2019,Austrian Grand Prix,8.88
2017,Azerbaijan Grand Prix,8.79
2019,Brazilian Grand Prix,8.77
2018,United States Grand Prix,8.76
2016,Spanish Grand Prix,8.71
2018,British Grand Prix,8.65
2018,Chinese Grand Prix,8.62
2019,British Grand Prix,8.56
2018,Azerbaijan Grand Prix,8.54
2019,Bahrain Grand Prix,8.51
2015,Malaysian Grand Prix,8.37
2018,Bahrain Grand Prix,8.32
2018,Italian Grand Prix,8.31
2019,Italian Grand Prix,8.18
2018,Brazilian Grand Prix,8.18
2018,German Grand Prix,8.14
2018,Austrian Grand Prix,8.12
2016,Austrian Grand Prix,8.1
2016,Malaysian Grand Prix,8.01